               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026205,            0.031907,           0.0012667,             0.76993,             0.62281,             0.66104,             0.44916,            0.033311,            0.015393,          0.00092282,             0.00769,             0.00769,             0.00769
                  37,            0.025068,            0.031001,          0.00082896,             0.78409,             0.62468,             0.66311,              0.4495,            0.033725,            0.015459,           0.0010216,            0.007624,            0.007624,            0.007624
                  38,            0.024771,            0.030671,          0.00085586,             0.78603,             0.62594,             0.66585,              0.4511,            0.033691,            0.015452,            0.001051,            0.007558,            0.007558,            0.007558
                  39,            0.024884,             0.03088,          0.00084787,             0.78159,             0.62439,             0.66483,             0.45136,            0.033567,            0.015481,            0.001061,            0.007492,            0.007492,            0.007492
                  40,            0.024752,            0.030745,          0.00081931,             0.76833,             0.62703,             0.66583,               0.452,            0.033445,            0.015498,           0.0010412,            0.007426,            0.007426,            0.007426
                  41,            0.024846,            0.030861,          0.00089962,             0.76096,             0.63378,             0.66647,             0.45218,            0.033399,            0.015486,          0.00099443,             0.00736,             0.00736,             0.00736
                  42,              0.0257,            0.031629,           0.0013277,             0.76022,              0.6398,             0.66745,              0.4538,            0.033295,            0.015482,          0.00096863,            0.007294,            0.007294,            0.007294
                  43,            0.025694,            0.031486,           0.0012737,             0.75304,             0.64279,             0.66754,             0.45479,            0.033242,            0.015455,           0.0009565,            0.007228,            0.007228,            0.007228
                  44,             0.02551,            0.031282,            0.001144,             0.76282,             0.64465,             0.66911,             0.45796,            0.033114,            0.015427,          0.00093136,            0.007162,            0.007162,            0.007162
                  45,            0.025131,            0.030991,            0.001059,             0.75696,              0.6461,             0.66973,              0.4591,            0.032979,            0.015411,          0.00091277,            0.007096,            0.007096,            0.007096
                  46,            0.025164,            0.030763,           0.0010974,              0.7581,             0.64957,             0.66956,             0.46041,            0.032919,            0.015396,          0.00092007,             0.00703,             0.00703,             0.00703
                  47,            0.024837,             0.03112,           0.0011556,             0.76305,              0.6466,             0.66989,             0.45946,            0.032837,            0.015379,          0.00091304,            0.006964,            0.006964,            0.006964
                  48,            0.024737,            0.030651,           0.0010498,             0.76319,             0.65255,             0.67234,              0.4611,            0.032779,            0.015353,          0.00090605,            0.006898,            0.006898,            0.006898
                  49,            0.023989,            0.030118,          0.00080147,             0.76138,             0.65306,               0.672,             0.46187,            0.032697,            0.015342,          0.00088822,            0.006832,            0.006832,            0.006832
                  50,            0.023868,            0.029875,          0.00084581,             0.76168,             0.65694,             0.67207,             0.46341,            0.032656,            0.015331,          0.00090011,            0.006766,            0.006766,            0.006766
                  51,            0.023815,            0.029855,          0.00076654,             0.76219,             0.65667,             0.67174,             0.46359,            0.032602,            0.015321,          0.00090861,              0.0067,              0.0067,              0.0067
                  52,            0.023577,            0.029673,          0.00071847,             0.76516,             0.65724,             0.67266,             0.46425,            0.032526,            0.015312,          0.00091265,            0.006634,            0.006634,            0.006634
                  53,            0.022739,            0.028921,          0.00056528,             0.76593,             0.66273,             0.67399,             0.46505,            0.032075,            0.015217,           0.0008354,            0.006568,            0.006568,            0.006568
                  54,            0.022528,             0.02862,          0.00055338,              0.7688,             0.66159,             0.67385,             0.46581,            0.032044,             0.01521,          0.00083452,            0.006502,            0.006502,            0.006502
                  55,            0.022608,            0.028664,          0.00052991,             0.76917,             0.66273,             0.67338,             0.46643,            0.032011,            0.015203,          0.00082573,            0.006436,            0.006436,            0.006436
                  56,            0.022411,            0.028615,          0.00053849,             0.76942,             0.66159,             0.67411,             0.46736,            0.031978,              0.0152,          0.00082562,             0.00637,             0.00637,             0.00637
                  57,            0.021849,             0.02805,          0.00042601,             0.76899,             0.66273,             0.67439,             0.46766,            0.031961,            0.015188,          0.00082322,            0.006304,            0.006304,            0.006304
                  58,            0.021707,            0.027797,          0.00046324,             0.76834,             0.66388,             0.67401,             0.46828,            0.031951,            0.015181,          0.00082957,            0.006238,            0.006238,            0.006238
                  59,            0.021836,            0.027923,          0.00044228,             0.76511,             0.66339,             0.67371,              0.4686,            0.031918,            0.015175,          0.00083725,            0.006172,            0.006172,            0.006172
                  60,            0.021615,            0.027785,          0.00042386,             0.76362,             0.66617,               0.674,               0.469,            0.031882,            0.015171,           0.0008473,            0.006106,            0.006106,            0.006106
                  61,            0.023949,            0.030208,           0.0010691,             0.76802,             0.66587,             0.67577,             0.47045,            0.031844,            0.015157,          0.00083995,             0.00604,             0.00604,             0.00604
                  62,            0.023776,            0.030076,           0.0010338,             0.76994,             0.66388,             0.67608,             0.47119,            0.031782,            0.015142,          0.00083636,            0.005974,            0.005974,            0.005974
                  63,            0.023698,            0.029829,          0.00091521,             0.77323,             0.66388,             0.67623,               0.471,            0.031714,            0.015136,          0.00083205,            0.005908,            0.005908,            0.005908
                  64,            0.023622,            0.029779,          0.00094086,             0.77374,              0.6615,             0.67637,             0.47133,             0.03166,            0.015125,            0.000831,            0.005842,            0.005842,            0.005842
                  65,            0.023258,            0.029494,          0.00084404,             0.77624,             0.66062,             0.67819,             0.47231,            0.031614,            0.015103,          0.00082238,            0.005776,            0.005776,            0.005776
                  66,            0.021647,            0.027895,           0.0004731,             0.77516,             0.66332,             0.67796,             0.47304,            0.031984,             0.01518,          0.00089628,             0.00571,             0.00571,             0.00571
                  67,            0.021358,            0.027451,          0.00046971,             0.76977,             0.66303,             0.67946,             0.47398,            0.031952,            0.015171,          0.00089372,            0.005644,            0.005644,            0.005644
                  68,            0.021254,            0.027293,          0.00039155,             0.77235,             0.65864,             0.68033,             0.47494,            0.031903,            0.015164,          0.00090269,            0.005578,            0.005578,            0.005578
                  69,            0.020955,            0.027164,          0.00036329,             0.77531,              0.6571,             0.68164,             0.47508,            0.031856,            0.015157,          0.00091092,            0.005512,            0.005512,            0.005512
                  70,             0.02042,            0.026582,          0.00032857,             0.77608,             0.66102,             0.68129,             0.47571,            0.031831,            0.015147,          0.00090643,            0.005446,            0.005446,            0.005446
                  71,            0.020217,            0.026109,          0.00029722,             0.77519,             0.65988,             0.68199,               0.476,            0.031804,            0.015136,          0.00090613,             0.00538,             0.00538,             0.00538
                  72,            0.020157,            0.026103,          0.00028385,             0.78623,             0.64826,             0.68166,             0.47711,            0.031774,            0.015124,          0.00091559,            0.005314,            0.005314,            0.005314
                  73,            0.019958,             0.02601,          0.00026772,             0.78657,             0.64637,             0.68047,             0.47795,            0.031742,            0.015113,          0.00092699,            0.005248,            0.005248,            0.005248
                  74,            0.022436,            0.028915,          0.00078671,             0.78746,             0.64837,             0.68147,             0.47933,            0.031721,            0.015094,          0.00093212,            0.005182,            0.005182,            0.005182
                  75,             0.02003,            0.026114,          0.00032305,             0.78371,             0.64935,             0.68209,             0.48133,            0.031683,            0.015087,          0.00093794,            0.005116,            0.005116,            0.005116
                  76,            0.019743,            0.025469,          0.00026462,             0.78673,             0.64935,             0.68224,             0.48238,            0.031653,            0.015076,          0.00094533,             0.00505,             0.00505,             0.00505
                  77,            0.019597,            0.025427,          0.00025726,             0.79291,             0.65102,             0.68219,             0.48245,            0.031631,            0.015075,          0.00095469,            0.004984,            0.004984,            0.004984
                  78,            0.019395,            0.025329,          0.00024081,             0.79293,             0.65145,             0.68185,             0.48287,            0.031588,            0.015074,          0.00096268,            0.004918,            0.004918,            0.004918
                  79,            0.019235,            0.025156,          0.00025824,             0.79204,             0.64972,             0.68131,             0.48385,            0.031559,             0.01507,          0.00097793,            0.004852,            0.004852,            0.004852
                  80,            0.019011,            0.024676,          0.00026647,             0.79207,             0.65133,             0.68269,             0.48416,            0.031539,            0.015066,          0.00099558,            0.004786,            0.004786,            0.004786
                  81,            0.018931,            0.024586,          0.00019853,             0.78871,             0.64937,             0.68048,             0.48399,            0.031534,            0.015062,           0.0010056,             0.00472,             0.00472,             0.00472
                  82,            0.018853,            0.024583,          0.00022114,             0.78757,             0.65378,             0.68095,             0.48512,            0.031503,            0.015062,           0.0010216,            0.004654,            0.004654,            0.004654
